,Station,Latitude,Longitude
349,Columbus Dr & Randolph St,41.884728,-87.61952099999999
350,State St & Van Buren St,41.877181,-87.627844
351,Ashland Ave & 13th St,41.865234,-87.666507
352,Vernon Ave & 75th St,41.758361,-87.614138
353,Damen Ave & Pershing Rd,41.823192,-87.676597
354,Rockwell St & Fletcher St,41.938689000000004,-87.692972
355,Racine Ave & Fullerton Ave,41.92556258,-87.65840426
356,Larrabee St & Menomonee St,41.91468,-87.64331999999999
357,Western Ave & Leland Ave,41.966399802,-87.688704282
358,Central Park Ave & 24th St,41.8481,-87.715068
359,Ravenswood Ave & Lawrence Ave,41.96909,-87.674237
360,Rush St & Hubbard St,41.890173,-87.62618499999999
361,Sheffield Ave & Webster Ave,41.92154,-87.653818
362,Phillips Ave & 79th St,41.75182,-87.565211
363,Clark St & Randolph St,41.884576228,-87.63188991
364,Lake Park Ave & 47th St,41.809443,-87.591875
365,Stockton Dr & Wrightwood Ave,41.93132,-87.63874200000001
366,Woodlawn Ave & 55th St,41.795264,-87.596471
367,Michigan Ave & Ida B Wells Dr,41.876243,-87.624426
368,Leavitt St & Armitage Ave,41.917805,-87.682437
369,Clark St & Montrose Ave,41.961588,-87.666036
370,Sheridan Rd & Buena Ave,41.958494,-87.654966
371,Broadway & Waveland Ave,41.949073999999996,-87.648636
372,Shields Ave & 28th Pl,41.842733,-87.635491
373,Ashland Ave & Wellington Ave,41.936083,-87.66980699999999
374,Elston Ave & Wabansia Ave,41.912919,-87.664169
375,California Ave & North Ave,41.91044,-87.6972
376,Normal Ave & Archer Ave,41.849527,-87.640591
377,California Ave & Altgeld St,41.92669,-87.69766800000001
378,Clark St & 9th St (AMLI),41.870816,-87.63124599999999
379,Ellis Ave & 58th St,41.788746,-87.601334
380,Mozart St & Jackson Blvd,41.877507,-87.6974
381,Morgan St & Polk St,41.871736999999996,-87.65103
382,Southport Ave & Irving Park Rd,41.954177,-87.664358
383,State St & Pearson St,41.897448,-87.628722
384,Central Park Ave & Douglas Blvd,41.862355,-87.7157109
385,Leavitt St & Lawrence Ave,41.968885,-87.684001
386,Sheridan Rd & Irving Park Rd,41.954245,-87.65440600000001
387,Sheridan Rd & Montrose Ave,41.96167,-87.65464
388,LaSalle St & Jackson Blvd,41.878166,-87.631929
389,Ellis Ave & 53rd St,41.799336263,-87.600958115
390,Orleans St & Chestnut St (NEXT Apts),41.898203,-87.637536
391,Rhodes Ave & 32nd St,41.836208,-87.61353299999999
392,Larrabee St & Armitage Ave,41.918084,-87.643749
393,Halsted St & 59th St,41.787539,-87.644874
394,Aberdeen St & Monroe St,41.880419,-87.655519
395,Clark St & Wrightwood Ave,41.929546,-87.643118
396,Central Ave & Lake St,41.887664,-87.765469
397,Ashland Ave & Grace St,41.950687,-87.6687
398,Campbell Ave & North Ave,41.910534999999996,-87.68955600000001
399,Bissell St & Armitage Ave,41.918018142,-87.65218198299999
400,South Shore Dr & 71st St,41.766409456999995,-87.565687572
401,Oak Park & Wellington,41.934585999999996,-87.7959613
402,South Shore Dr & 67th St,41.773643,-87.567514
403,Ellis Ave & 55th St,41.794300621,-87.601449773
404,Whipple St & Roosevelt Rd,41.866554,-87.701329
405,Clinton St & Tilden St,41.875885,-87.640795
406,Chicago Ave & Sheridan Rd,42.050491,-87.677821
407,Racine Ave & Congress Pkwy,41.87464,-87.65703
408,MLK Jr Dr & 56th St,41.793429456999995,-87.615853262
409,Michigan Ave & Jackson Blvd,41.87785,-87.62408
410,Wells St & Polk St,41.872596,-87.63350200000001
411,Bloomingdale Ave & Harlem Ave,41.9120739,-87.8057657
412,Stony Island Ave & 82nd St,41.746559000000005,-87.586005
413,DuSable Museum,41.791568011,-87.60785217700001
414,Lincoln Ave & Belmont Ave,41.939365,-87.668385
415,Blue Island Ave & 18th St,41.857556,-87.661535
416,Museum of Science and Industry,41.79172821,-87.58394500899999
417,May St & Cullerton St,41.855136,-87.654127
418,University Ave & 57th St,41.791478000000005,-87.599861
